flow_time,time_step,group_id,x_centroid,y_centroid,z_centroid,major_radius,tube_circulation,impulse_x,impulse_norm,impulse_radius,length_strength,vector_circulation_x,vector_circulation_y,vector_circulation_z,max_strength
5.3,265,0,4.3309532093401435,-0.012192187655481796,-0.006305553583261773,1.0060372557511748,3.221546180445808,9.888564494353773,9.888693225997889,0.9712043216374977,20.363775172097817,-5.649228468414952e-05,6.915872414303692e-06,0.0002358022182588071,0.013955179243637797
5.4,270,0,4.406598137102296,-0.012712012018361156,-0.006343869016379797,1.0060019798887734,3.2217961804049087,9.888811964193042,9.888945061748359,0.9711877452997438,20.36464135715854,-5.6861390644313836e-05,7.2056517774754525e-06,0.00023580831400238367,0.014901084327159725
5.5,275,0,4.482174210244459,-0.013260336267417384,-0.0064546311967887855,1.0059320035618278,3.222297147862226,9.88907269399926,9.88921171830982,0.9711304904959,20.366391159770863,-5.706261094903797e-05,7.5561775778609785e-06,0.00023581641650594065,0.015043900569344692
5.6,280,0,4.5576643926756155,-0.01375405234050077,-0.0065211540780983355,1.0059573208374126,3.222341856923342,9.889277195536286,9.889419766029711,0.9711130056003917,20.367186329495333,-5.72181798837168e-05,7.790339968671844e-06,0.00023576840980110703,0.014275911771620495
5.7,285,0,4.6329806477581785,-0.014215442518270067,-0.006553792186559147,1.006028550898481,3.2221561433612766,9.889426397490753,9.889571274644045,0.9711150927124438,20.367454586708682,-5.74011466722979e-05,7.99306186394233e-06,0.00023576741186470684,0.01325680357858243
5.8,290,0,4.708090863571336,-0.014750383803133654,-0.006575414927016947,1.006090319471411,3.221496899582327,9.889450108429076,9.889597393808215,0.9712567523760857,20.36453773858307,-5.7582430031344334e-05,8.172980576759414e-06,0.0002357708541644854,0.012989838494713347
5.9,295,0,4.78295909479094,-0.01526834801918606,-0.0066958477890272,1.0061472294220164,3.221111736788307,9.889384872208172,9.889532167319588,0.9713115405783852,20.36325474199696,-5.776915909494473e-05,8.417206020183698e-06,0.000235912269588745,0.013766864932058868
6.0,300,0,4.85766265009072,-0.015700252138655967,-0.006866597121594952,1.0061463160204644,3.221267860137371,9.889439293778915,9.889588450996591,0.9712708740137338,20.364223236980855,-5.800945947023739e-05,8.698701186915514e-06,0.00023602943733480597,0.014760026816834287
6.1,305,0,4.9323022837359085,-0.01622569029500004,-0.007004434842670452,1.0060309178176445,3.2219434678810885,9.889427389699492,9.889590188904805,0.971178767008354,20.366158167499837,-5.8245203409690305e-05,8.797454215780931e-06,0.0002360875294424858,0.015020995069511642
6.2,310,0,5.006884438766233,-0.01670123936848292,-0.007160914939103041,1.0059503768851754,3.2225507961178166,9.889623979659518,9.889795450136573,0.9710936339649665,20.36836635362674,-5.8350740325785466e-05,8.750039651950203e-06,0.00023625359663012602,0.01440251633446588
6.3,315,0,5.0813635825459285,-0.017240797157453754,-0.007318339330464599,1.0059720865372945,3.2225026713272076,9.88987387125172,9.890033800478477,0.9711105828135167,20.368501745341746,-5.85178356720395e-05,8.520269731526753e-06,0.00023622865658001757,0.013475689790518644
6.4,320,0,5.155706937322795,-0.017600150549790118,-0.007443504704582734,1.0060396028758372,3.22230182340813,9.890081121500405,9.890236951600965,0.9711258838947879,20.368599201444983,-5.8644687175271604e-05,8.159566891485781e-06,0.0002361329528415279,0.013017747926771467
6.5,325,0,5.229865658174817,-0.018104013206725094,-0.007509900705134603,1.0061361500659778,3.2215110034012477,9.890049102163717,9.890222650366292,0.9712696619366069,20.36555456832916,-5.889127794583837e-05,7.865753908653517e-06,0.00023603263261806617,0.013470834259858417
6.6,330,0,5.303748982841559,-0.018520039352348486,-0.007719161154573558,1.006261847256791,3.2210496083944227,9.889982130889937,9.890170923210155,0.9712823666978462,20.36518166562549,-5.925193526437611e-05,7.575824285233068e-06,0.00023580386643662354,0.014441838625833727
6.7,335,0,5.377461772535369,-0.019107301717994622,-0.00792446294485089,1.006306155644881,3.2204235636428113,9.890091002542315,9.890272593707472,0.9714383939640977,20.362120037995936,-5.9662760755418986e-05,7.427193653875008e-06,0.00023567709590155417,0.015077616406066979
