# time=0.018
position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z
14.0,0.0,0.0,6.9977765,3.8707822e-07,-7.745771e-07,-9.663286618888378e-06,6.981454134802334e-06,1.6404102893829986e-06
14.166668,0.0,0.0,6.9978456,2.9017883e-07,-1.0935432e-06,3.9397040382027626e-05,-3.96795294363983e-05,5.431872969552387e-05
14.333332,0.0,0.0,6.997913,2.637123e-07,-1.007717e-06,-3.305694554001093e-05,-4.284879832994193e-05,-2.0936351546652077e-05
14.5,0.0,0.0,6.997977,2.432305e-07,-2.2046379e-08,1.739396248012781e-05,-2.0205305190756917e-05,2.23962899781327e-06
14.666668,0.0,0.0,6.9980383,2.3506618e-07,-2.214415e-08,2.474687062203884e-05,3.379173358553089e-05,-1.604929082077433e-05
14.833334,0.0,0.0,6.9980974,2.2259951e-07,1.4000079e-08,-3.793608630076051e-05,-2.0244282495696098e-05,1.710041158275999e-05
15.0,0.0,0.0,6.9981537,2.0926745e-07,3.364312e-08,-1.2323434930294752e-05,1.7058628145605326e-06,3.969031695305603e-06
15.166666,0.0,0.0,6.998209,1.9241656e-07,2.88494e-08,-1.7667131032794714e-05,-2.724126898101531e-05,-1.6590109112257778e-05
15.333332,0.0,0.0,6.998261,1.8080141e-07,2.4462224e-08,3.05837020277977e-05,8.947265087044798e-06,-6.35057538147521e-05
15.5,0.0,0.0,6.9983115,1.6540298e-07,4.0219675e-08,8.293864084407687e-05,-1.1260737664997578e-05,2.6507478878556867e-05
15.666668,0.0,0.0,6.99836,1.6918182e-07,4.9244136e-08,-6.999325705692172e-05,1.6461233826703392e-05,-8.177070526471653e-06
15.833332,0.0,0.0,6.9984074,1.5411399e-07,6.048981e-08,-1.009373227134347e-05,-1.6515657989657484e-05,-1.792390435184643e-05
16.0,0.0,0.0,6.998452,1.4917566e-07,5.9475497e-08,3.689987352117896e-05,2.8429389203665778e-05,-2.9534779741879902e-05
16.166668,0.0,0.0,6.9984956,-6.855239e-07,-3.3089418e-07,3.4156255424022675e-06,7.425824151141569e-07,-1.1298904837531154e-05
16.333334,0.0,0.0,6.998537,-6.594088e-07,-3.161408e-07,8.208327926695347e-06,2.377601049374789e-06,-8.148751248882036e-06
16.5,0.0,0.0,6.998578,-2.3063403e-06,-1.223937e-06,1.055822940543294e-05,2.1763384211226366e-05,1.748004763157951e-05
16.666666,0.0,0.0,6.9986167,-2.2083154e-06,-1.1690818e-06,3.9785983972251415e-05,4.382288170745596e-05,-2.3082871848600917e-05
16.833332,0.0,0.0,6.9986544,-2.1147648e-06,-1.1304801e-06,1.528533175587654e-07,-4.085357431904413e-05,-1.6056502431638364e-05
17.0,0.0,0.0,6.99869,-2.027492e-06,-1.0716769e-06,-1.0863237548619509e-05,7.247426765388809e-06,-7.471425760741113e-06
17.166668,0.0,0.0,6.998725,-1.9418976e-06,-1.027541e-06,2.5866669602692127e-05,-5.427848009276204e-05,-1.6031389350246172e-05
17.333332,0.0,0.0,6.9987593,-1.8701897e-06,-9.819621e-07,-8.869857992976904e-06,-1.7360907804686576e-06,4.026032115689304e-06
17.5,0.0,0.0,6.9987917,-1.7917927e-06,-9.425919e-07,-1.031969441100955e-05,-4.122102109249681e-05,-7.789938081259606e-07
17.666668,0.0,0.0,6.998823,-1.7138653e-06,-9.01048e-07,3.506540087983012e-05,-2.2890653781360015e-06,-1.8624694462232583e-06
17.833334,0.0,0.0,6.9988537,-1.6428199e-06,-8.5229317e-07,-3.49347828887403e-06,-2.7335954655427486e-07,3.522122653976112e-06
18.0,0.0,0.0,6.998883,-1.58509e-06,-8.1791313e-07,-7.977476343512535e-06,1.1132366125821136e-05,1.947423180581609e-05
18.166666,0.0,0.0,6.9989114,-1.5232339e-06,-7.91626e-07,5.2019895520061255e-06,-8.606339179095812e-06,-1.953287289779837e-05
18.333332,0.0,0.0,6.998939,-1.4588738e-06,-7.542865e-07,-2.023993874900043e-05,1.4624229152104817e-05,2.299973914432485e-06
18.5,0.0,0.0,6.9989653,-1.4004595e-06,-7.2734474e-07,-1.478707417845726e-06,-6.819474947405979e-06,1.0796178685268387e-05
18.666668,0.0,0.0,6.998991,-1.3443512e-06,-6.96469e-07,-8.408591384068131e-06,1.4989333067205735e-05,1.5580163392314716e-05
18.833332,0.0,0.0,6.999016,-1.2989068e-06,-6.6062785e-07,7.351045496761799e-06,4.2683095671236515e-06,-6.569712581949716e-06
19.0,0.0,0.0,6.9990396,-1.2478533e-06,-6.460791e-07,3.150090924464166e-05,-3.5780525649897754e-05,2.344853373870137e-05
19.166668,0.0,0.0,6.999063,-1.2003767e-06,-6.122518e-07,-3.073277184739709e-06,1.3516697435989045e-05,-4.530863918716932e-06
19.333334,0.0,0.0,6.999086,-1.1575876e-06,-5.927468e-07,2.6939698727801442e-05,-7.247384928632528e-06,-1.6230385028848104e-05
19.5,0.0,0.0,6.999108,-1.1062294e-06,-5.743632e-07,-1.2698641512542963e-05,-2.3457947463612072e-05,-2.1785540070595744e-05
19.666666,0.0,0.0,6.999129,-1.069982e-06,-5.471627e-07,-7.888185791671276e-06,-2.485995355527848e-05,-6.498567472590366e-06
19.833332,0.0,0.0,6.9991493,-1.0250936e-06,-5.314573e-07,-2.5841989554464817e-05,3.648218626040034e-05,3.0380511475414096e-06
20.0,0.0,0.0,6.9991693,-9.891602e-07,-5.056211e-07,-7.158028893172741e-06,2.394783223280683e-06,-6.465423325607844e-06
20.166668,0.0,0.0,6.9991884,-9.4726204e-07,-4.863066e-07,-6.284954724833369e-05,-9.838189725996926e-06,-4.376869696898211e-06
