time,step,surface,force_density,force_units,moment_units,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.08,16,wing_0,1.0,N,N*m,1.3489846978592608,0.020891789393926344,0.16862308723240763,0.0026114736742407934,4,-0.10738720520414005,0.0,-0.10738720520414005,0.020891789393926344,-0.03238185030263835,1.3489846978592608,-0.35795735068046686,-0.27864878731414916,-0.021960584990822127,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0012542211458900223,-0.05224918025760302
0.08,16,wing_1,1.0,N,N*m,1.2086133309303484,0.02746561608858806,0.15107666636629358,0.0034332020110735078,4,-0.1048499593969302,0.0,-0.1048499593969302,0.02746561608858806,-0.029012290516021,1.2086133309303484,-0.349499864656434,-2.1620280694964826,-0.06121394226192248,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0023454332640629465,0.09770762181595706
0.085,17,wing_0,1.0,N,N*m,1.3483841877612117,0.020991128362127884,0.1685480234701515,0.002623891045265986,4,-0.10737553576090021,0.0,-0.10737553576090021,0.020991128362127884,-0.03439125141481913,1.3483841877612117,-0.35791845253633403,-0.2790179001624295,-0.022342517633848386,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0013325934758877669,-0.05224724014627292
0.085,17,wing_1,1.0,N,N*m,1.2061949040883002,0.027507730161035693,0.15077436301103755,0.003438466270129462,4,-0.10481140710067441,0.0,-0.10481140710067441,0.027507730161035693,-0.030764638578749517,1.2061949040883002,-0.34937135700224803,-2.1575551938878537,-0.06426440887676918,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0024919920032144276,0.09770399374632634
0.09,18,wing_0,1.0,N,N*m,1.3478074093841022,0.021090586928328985,0.1684759261730128,0.0026363233660411235,4,-0.10736419463769122,0.0,-0.10736419463769122,0.021090586928328985,-0.03639964559715323,1.3478074093841022,-0.3578806487923041,-0.279396109569984,-0.02272653189403396,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0014109628075507643,-0.052245182478674525
0.09,18,wing_1,1.0,N,N*m,1.2037813742262458,0.02754989245545952,0.15047267177828075,0.0034437365569324405,4,-0.10477290737170863,0.0,-0.10477290737170863,0.02754989245545952,-0.032509997417444314,1.2037813742262458,-0.3492430245723621,-2.1530943762455275,-0.06730213848609055,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.002638545135384946,0.0977001458427509
0.095,19,wing_0,1.0,N,N*m,1.3472541604742347,0.021190160275090332,0.16840677005927937,0.002648770034386292,4,-0.10735318078572716,0.0,-0.10735318078572716,0.021190160275090332,-0.03840714287058289,1.3472541604742347,-0.35784393595242386,-0.27978324336394517,-0.02311266318318382,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0014893289645479815,-0.0522430072594376
0.095,19,wing_1,1.0,N,N*m,1.2013726374152711,0.027592087022308177,0.15017157967690892,0.0034490108777885226,4,-0.1047344583938381,0.0,-0.1047344583938381,0.027592087022308177,-0.034248393421012366,1.2013726374152711,-0.3491148613127937,-2.1486453467083484,-0.07032719234970371,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0027850923308300195,0.09769607811388853
0.1,20,wing_0,1.0,N,N*m,1.3467242300711952,0.021289843042846965,0.16834052875889943,0.002661230380355871,4,-0.10734249303656225,0.0,-0.10734249303656225,0.021289843042846965,-0.040413851785183086,1.3467242300711952,-0.3578083101218742,-0.2801791255646441,-0.02350094569194277,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0015676917705556572,-0.052240714493456374
0.1,20,wing_1,1.0,N,N*m,1.1989685894044044,0.027634297830708626,0.14987107367555058,0.0034542872288385786,4,-0.10469605835225303,0.0,-0.10469605835225303,0.027634297830708626,-0.03597985228551064,1.1989685894044044,-0.34898686117417677,-2.144207835733838,-0.07333963002330333,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.002931633259818545,0.09769179056889161
