time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,force_density,force_units,moment_units,reference_speed,reference_speed_units,power,rotational_power,translational_power
0.155,31,0.3143962080766566,0.006310825942696942,0.014629969746569433,0.05048660754157553,-0.11703975797255545,2.515169664613252,-0.03257761444994819,0.014407727812054426,-0.30962025688212164,-0.7050746042066087,-1.1278064130033716,-0.0752597701779765,2.515169664613252,0.05048660754157553,2.0,3.9999999999999996,-0.04406716276291305,-0.07048790081271074,-0.004703735636123532,-0.044067162762913066,0.015867574673278505,-0.0006853093276783536,1.4228471974503218,-1.422847197450322,0.0,558,1.0,N,N*m,2.0,m/s,-0.21152238126198258,-0.21152238126198258,0.0
0.16,32,0.3140680625956448,0.006328519114261387,0.015086855489715556,0.05062815291409109,-0.12069484391772443,2.512544500765158,-0.03240715956697433,0.014794326749322961,-0.30797839501638835,-0.7049250829467055,-1.1252711102184727,-0.07671933663196659,2.512544500765158,0.05062815291409109,2.0,3.9999999999999996,-0.0440578176841691,-0.07032944438865456,-0.004794958539497913,-0.04405781768416911,0.015934695353433923,-0.0006510968571685323,1.4206817827602354,-1.4206817827602354,0.0,576,1.0,N,N*m,2.0,m/s,-0.21147752488401161,-0.21147752488401161,0.0
0.165,33,0.313742828250791,0.0063461878035676695,0.015542966790706698,0.05076950242854135,-0.12434373432565357,2.5099426260063273,-0.03223595357179329,0.015175679095162877,-0.3063289360426101,-0.7047766541835482,-1.1227387184268327,-0.07817245841271431,2.5099426260063273,0.05076950242854135,2.0,3.9999999999999996,-0.04404854088647177,-0.07017116990167706,-0.004885778650794645,-0.04404854088647177,0.01600243873682026,-0.0006166976816103154,1.4185243749366672,-1.4185243749366672,0.0,594,1.0,N,N*m,2.0,m/s,-0.21143299625506443,-0.21143299625506443,0.0
0.17,34,0.3134204556897637,0.00636382863840344,0.01599831618605887,0.05091062910722751,-0.12798652948847095,2.507363645518109,-0.03206404858479163,0.015551777507915594,-0.30467238780817446,-0.7046293042169628,-1.120209013594561,-0.07961914133778936,2.507363645518109,0.05091062910722751,2.0,3.9999999999999996,-0.04403933151356018,-0.07001306334966008,-0.004976196333611836,-0.0440393315135602,0.016070805395867017,-0.000582108692844258,1.4163750302028193,-1.4163750302028193,0.0,612,1.0,N,N*m,2.0,m/s,-0.2113887912650888,-0.2113887912650888,0.0
0.175,35,0.3131008952764022,0.006381438227035514,0.016452915896807033,0.05105150581628411,-0.13162332717445624,2.5048071622112174,-0.03189149625369081,0.01592261740816545,-0.3030092536124692,-0.7044830192115482,-1.1176817794874003,-0.08105939019162099,2.5048071622112174,0.05105150581628411,2.0,3.9999999999999996,-0.04403018870072177,-0.06985511121796253,-0.005066211886976313,-0.0440301887007218,0.01613979533819307,-0.0005473268040282811,1.4142338013371663,-1.4142338013371665,0.0,630,1.0,N,N*m,2.0,m/s,-0.21134490576346449,-0.21134490576346449,0.0
0.18,36,0.3127840971469371,0.006399013162402813,0.016906777829523004,0.051192105299222496,-0.135254222636184,2.5022727771754965,-0.03171834771391224,0.016288196924361256,-0.30134003182092983,-0.7043377852143254,-1.1151568080580898,-0.08249320880740545,2.5022727771754965,0.051192105299222496,2.0,3.9999999999999996,-0.04402111157589535,-0.06969730050363063,-0.005155825550462841,-0.044021111575895375,0.01620940799767977,-0.0005123489544805641,1.412100737706358,-1.4121007377063581,0.0,648,1.0,N,N*m,2.0,m/s,-0.21130133556429764,-0.21130133556429764,0.0
0.185,37,0.3124700112665519,0.006416550026391603,0.017359913577851983,0.05133240021113282,-0.13887930862281583,2.4997600901324146,-0.031544653549164914,0.01664851683514116,-0.2996652154815405,-0.704193588173258,-1.112633899827264,-0.08392060015200628,2.4997600901324146,0.05133240021113282,2.0,3.9999999999999996,-0.04401209926082863,-0.06953961873920401,-0.005245037509500393,-0.04401209926082867,0.01627964222603768,-0.0004771721145686569,1.4099758853007338,-1.4099758853007343,0.0,666,1.0,N,N*m,2.0,m/s,-0.21125807645197742,-0.21125807645197742,0.0
0.19,38,0.3121585874849249,0.0064340453940515095,0.017812334424494005,0.05147236315241207,-0.142498675395952,2.497268699879399,-0.03137046375338079,0.0170035805089944,-0.29798529195449186,-0.704050413954833,-1.1101128642490332,-0.08534156641346252,2.497268699879399,0.05147236315241207,2.0,3.9999999999999996,-0.04400315087217707,-0.06938205401556459,-0.0053338479008414085,-0.04400315087217712,0.016350496285053303,-0.00044179329064072444,1.40785928677235,-1.40785928677235,0.0,684,1.0,N,N*m,2.0,m/s,-0.21121512418644992,-0.21121512418644992,0.0
0.195,39,0.3118497755919239,0.006451495837876392,0.018264051343688265,0.05161196670301113,-0.1461124107495061,2.4947982047353907,-0.03119582769300501,0.01735339384084365,-0.2963007425455765,-0.7039082483629018,-1.1075935200702343,-0.08675610909123999,2.4947982047353907,0.05161196670301113,2.0,3.9999999999999996,-0.04399426552268137,-0.06922459500438966,-0.0054222568182025,-0.04399426552268141,0.016421967839269386,-0.00040620952999171207,1.405750981475498,-1.4057509814754978,0.0,702,1.0,N,N*m,2.0,m/s,-0.21117247450887053,-0.21117247450887053,0.0
0.2,40,0.3115435253721353,0.00646889793201255,0.01871507500412332,0.05175118345610039,-0.14972060003298654,2.492348202977082,-0.031020794070728133,0.017697965186205186,-0.29461204215365966,-0.7037670771558745,-1.1050756956726255,-0.08816422908882034,2.492348202977082,0.05175118345610039,2.0,3.9999999999999996,-0.04398544232224216,-0.06906723097953911,-0.005510264318051272,-0.0439854423222422,0.01649405394941466,-0.00037041792585994503,1.403651005509619,-1.403651005509619,0.0,720,1.0,N,N*m,2.0,m/s,-0.21113012314676233,-0.21113012314676233,0.0
